order_id,user_id,order_product_id,order_date,is_discounted,is_canceled
C000001,A0033,B032,2020-07-24,0,0
C000002,A0608,B040,2020-11-25,0,0
C000003,A0670,B007,2020-02-04,0,0
C000004,A0848,B002,2020-05-04,0,0
C000005,A0311,B037,2020-07-04,0,0
C000006,A0576,B056,2020-02-21,0,0
C000007,A0923,B032,2020-05-19,0,0
C000008,A0919,B018,2020-12-06,0,0
C000009,A0082,B020,2020-04-24,0,0
C000010,A0769,B033,2020-07-07,0,0
C000011,A0756,B006,2020-11-13,0,0
C000012,A0734,B033,2020-11-03,0,0
C000013,A0609,B028,2020-03-20,0,0
C000014,A0667,B052,2020-11-27,0,0
C000015,A0791,B024,2020-02-26,0,0
C000016,A0250,B040,2020-02-23,0,0
C000017,A0325,B020,2020-05-28,0,0
C000018,A0130,B007,2020-08-25,0,0
C000019,A0570,B019,2020-11-25,0,0
C000020,A0822,B022,2020-06-07,0,0
C000021,A0121,B020,2020-12-25,0,0
C000022,A0481,B009,2020-02-28,0,0
C000023,A0359,B026,2020-09-10,0,0
C000024,A0646,B051,2020-11-12,0,0
C000025,A0104,B040,2020-03-25,0,0
C000026,A0068,B006,2020-10-22,0,0
C000027,A0773,B056,2020-05-25,0,0
C000028,A0851,B031,2020-05-16,0,0
C000029,A0507,B004,2020-07-09,0,0
C000030,A0179,B028,2020-01-15,0,0
C000031,A0779,B033,2020-12-30,0,0
C000032,A0133,B051,2020-12-11,0,0
C000033,A0329,B020,2020-02-22,0,0
C000034,A0062,B031,2020-05-05,0,0
C000035,A0743,B026,2020-02-09,0,0
C000036,A0900,B027,2020-10-31,0,0
C000037,A0406,B027,2020-04-22,0,0
C000038,A0766,B024,2020-11-16,0,0
C000039,A0314,B021,2020-09-02,0,0
C000040,A0779,B058,2020-05-19,0,0
C000041,A0608,B017,2020-09-25,0,0
C000042,A0197,B001,2020-01-29,0,0
C000043,A0859,B029,2020-06-30,0,0
C000044,A0848,B016,2020-09-25,0,0
C000045,A0482,B017,2020-07-15,0,0
C000046,A0779,B034,2020-06-20,0,0
C000047,A0466,B032,2020-11-16,0,0
C000048,A0136,B027,2020-04-08,0,0
C000049,A0449,B017,2020-03-24,0,0
